"Date","Year","Month_Num","Month_Name","Financial_Year","UPI_Volume_Mn","UPI_Value_Cr","Time_Index","Is_Covid","Is_Festive"
2016-01-01,2016,1,"January","FY15-16",0,0,1,0,0
2016-02-01,2016,2,"February","FY15-16",0,0,2,0,0
2016-03-01,2016,3,"March","FY15-16",0,0,3,0,0
2016-04-01,2016,4,"April","FY16-17",0,0,4,0,0
2016-05-01,2016,5,"May","FY16-17",0,0,5,0,0
2016-06-01,2016,6,"June","FY16-17",0,0,6,0,0
2016-07-01,2016,7,"July","FY16-17",0,0,7,0,0
2016-08-01,2016,8,"August","FY16-17",0.093,3.1,8,0,0
2016-09-01,2016,9,"September","FY16-17",1.12266666666667,313.533333333333,9,0,0
2016-10-01,2016,10,"October","FY16-17",2.15233333333333,623.966666666667,10,0,1
2016-11-01,2016,11,"November","FY16-17",3.182,934.4,11,0,1
2016-12-01,2016,12,"December","FY16-17",4.21166666666667,1244.83333333333,12,0,0
2017-01-01,2017,1,"January","FY16-17",5.24133333333333,1555.26666666667,13,0,0
2017-02-01,2017,2,"February","FY16-17",6.271,1865.7,14,0,0
2017-03-01,2017,3,"March","FY16-17",7.30066666666667,2176.13333333333,15,0,0
2017-04-01,2017,4,"April","FY17-18",8.33033333333333,2486.56666666667,16,0,0
2017-05-01,2017,5,"May","FY17-18",9.36,2797,17,0,0
2017-06-01,2017,6,"June","FY17-18",10.35,3098,18,0,0
2017-07-01,2017,7,"July","FY17-18",11.63,3411,19,0,0
2017-08-01,2017,8,"August","FY17-18",21.205,4352,20,0,0
2017-09-01,2017,9,"September","FY17-18",30.78,5293,21,0,0
2017-10-01,2017,10,"October","FY17-18",53.5257142857143,8394,22,0,1
2017-11-01,2017,11,"November","FY17-18",76.2714285714286,11495,23,0,1
2017-12-01,2017,12,"December","FY17-18",99.0171428571429,14596,24,0,0
2018-01-01,2018,1,"January","FY17-18",121.762857142857,17697,25,0,0
2018-02-01,2018,2,"February","FY17-18",144.508571428571,20798,26,0,0
2018-03-01,2018,3,"March","FY17-18",167.254285714286,23899,27,0,0
2018-04-01,2018,4,"April","FY18-19",190,27000,28,0,0
2018-05-01,2018,5,"May","FY18-19",189.48,33288,29,0,0
2018-06-01,2018,6,"June","FY18-19",245.39,41445.3333333333,30,0,0
2018-07-01,2018,7,"July","FY18-19",301.3,49602.6666666667,31,0,0
2018-08-01,2018,8,"August","FY18-19",357.21,57760,32,0,0
2018-09-01,2018,9,"September","FY18-19",413.12,65917.3333333333,33,0,0
2018-10-01,2018,10,"October","FY18-19",469.03,74074.6666666667,34,0,1
2018-11-01,2018,11,"November","FY18-19",524.94,82232,35,0,1
2018-12-01,2018,12,"December","FY18-19",620.17,102594,36,0,0
2019-01-01,2019,1,"January","FY18-19",672,109000,37,0,0
2019-02-01,2019,2,"February","FY18-19",700,107000,38,0,0
2019-03-01,2019,3,"March","FY18-19",799.54,133400,39,0,0
2019-04-01,2019,4,"April","FY19-20",848.177142857143,141628.571428571,40,0,0
2019-05-01,2019,5,"May","FY19-20",896.814285714286,149857.142857143,41,0,0
2019-06-01,2019,6,"June","FY19-20",945.451428571429,158085.714285714,42,0,0
2019-07-01,2019,7,"July","FY19-20",994.088571428571,166314.285714286,43,0,0
2019-08-01,2019,8,"August","FY19-20",1042.72571428571,174542.857142857,44,0,0
2019-09-01,2019,9,"September","FY19-20",1091.36285714286,182771.428571429,45,0,0
2019-10-01,2019,10,"October","FY19-20",1140,191000,46,0,1
2019-11-01,2019,11,"November","FY19-20",1115,184333.333333333,47,0,1
2019-12-01,2019,12,"December","FY19-20",1090,177666.666666667,48,0,0
2020-01-01,2020,1,"January","FY19-20",1065,171000,49,0,0
2020-02-01,2020,2,"February","FY19-20",1040,164333.333333333,50,0,0
2020-03-01,2020,3,"March","FY19-20",1015,157666.666666667,51,1,0
2020-04-01,2020,4,"April","FY20-21",990,151000,52,1,0
2020-05-01,2020,5,"May","FY20-21",1152,186600,53,1,0
2020-06-01,2020,6,"June","FY20-21",1314,222200,54,1,0
2020-07-01,2020,7,"July","FY20-21",1476,257800,55,1,0
2020-08-01,2020,8,"August","FY20-21",1638,293400,56,1,0
2020-09-01,2020,9,"September","FY20-21",1800,329000,57,1,0
2020-10-01,2020,10,"October","FY20-21",2070,386000,58,1,1
