state,district,transaction_volume,transaction_amount
Assam,Tinsukia District,8630495,10757062986
Assam,Lakhimpur District,7666573,7457700439
Assam,Kamrup District,16141222,18662571631
Assam,Kamrup District,16141222,18662571631
Assam,Kokrajhar District,8922726,10890306431
Assam,Karbi Anglong District,4131819,4801917134
Assam,Sivasagar District,4360230,4257787451
Assam,Dibrugarh District,8986017,9281917063
Assam,Nagaon District,16930350,21494769896
Assam,Dhubri District,18500778,21619655588
Assam,Golaghat District,7138694,7524471368
Assam,Udalguri District,4637104,5402539962
Assam,Morigaon District,9739326,12275907259
Assam,Majuli District,639227,630031791
Assam,Sonitpur District,11375434,12320464475
Assam,Bajali District,1234315,1564485875
Assam,Hojai District,10822136,12433762600
Assam,Chirang District,4981020,6207183634
Assam,Cachar District,16287428,19773111407
Assam,Nalbari District,5376786,6484416725
Assam,West Karbi Anglong District,1018623,1003023733
Assam,Dhemaji District,4665519,5113644536
Assam,Karimganj District,9254172,13029314777
Assam,Bongaigaon District,11133665,13022142781
Assam,Dima Hasao District,2371203,2725718790
Assam,Baksa District,4973615,6440806260
Assam,Charaideo District,2619873,2685862769
Assam,Darrang District,10815567,14057911052
Assam,Hailakandi District,6328937,7396036181
Assam,South Salmara Mankachar District,7575288,10319574717
Assam,Barpeta District,24798220,28930069019
Assam,Goalpara District,14939041,18678804394
Assam,Biswanath District,5708879,5468463614
Assam,Jorhat District,6068812,6076739064
Assam,Tamulpur District,1522964,2181950998
Bihar,Madhepura District,28697815,38179006240
Bihar,Nalanda District,32112550,47674621552
Bihar,Buxar District,19265662,28851349422
Bihar,Darbhanga District,52027155,72366762365
Bihar,Nawada District,24639074,35862337444
Bihar,Siwan District,50740380,71077642341
Bihar,Muzaffarpur District,85005958,1.15779E+11
Bihar,Patna District,175201953,2.12799E+11
Bihar,Rohtas District,42769265,62468912990
Bihar,Kaimur District,16759218,24385090397
Bihar,Begusarai District,41998967,55313641454
Bihar,Supaul District,33842102,43014232871
Bihar,Sitamarhi District,37941814,53532626072
Bihar,Saran District,56938059,76864717292
Bihar,Vaishali District,48625404,69389482978
Bihar,Pashchim Champaran District,71226856,86524079195
Bihar,Gopalganj District,41168607,53933096975
Bihar,Aurangabad District,36452621,47931873950
Bihar,Araria District,38340248,52974546128
Bihar,Munger District,16558368,21458486638
Bihar,Katihar District,48044846,66628994809
Bihar,Khagaria District,22199733,31198935187
Bihar,Saharsa District,29284714,36855788338
Bihar,Bhagalpur District,46147064,58487020050
Bihar,Madhubani District,52269129,72529169201
Bihar,Kishanganj District,22116289,34758131380
Bihar,Samastipur District,55112370,77245411789
Bihar,Banka District,17570802,22238708802
Bihar,Sheohar District,7679736,10401344000
Bihar,Bhojpur District,32102122,46766676225
Chhattisgarh,Dhamtari District,8020163,11027844256
Chhattisgarh,Korba District,30926848,31421498172
Chhattisgarh,Raigarh District,30678887,32593558173
Chhattisgarh,Sakti District,10998903,11889316808
Chhattisgarh,Janjgir Champa District,17722590,19531704794
Chhattisgarh,Jashpur District,9426758,11790980362
Chhattisgarh,Balod District,7674301,9610045224
Chhattisgarh,Durg District,51512689,56853409760
Chhattisgarh,Rajnandgaon District,13672780,17108527806
Chhattisgarh,Raipur District,100483587,1.15791E+11
Chhattisgarh,Bilaspur District,49009256,50834715338
Chhattisgarh,Sarangarh Bilaigarh District,8580471,10505825799
Chhattisgarh,Mahasamund District,15375747,19996523315
Gujarat,Anand District,9478915,12970195711
Gujarat,Jamnagar District,13015252,13781609013
Gujarat,Devbhumi Dwarka District,2846660,4262882854
Gujarat,Aravalli District,9444097,13228372954
Gujarat,Rajkot District,24338833,36861548184
Gujarat,Botad District,5943626,9825352520
Gujarat,Bharuch District,39338070,40222070451
Gujarat,Bhavnagar District,12014669,21759667639
Gujarat,Ahmedabad District,185220314,2.46067E+11
Gujarat,Dahod District,11488629,14580004151
Gujarat,Kheda District,11433846,14700149296
Gujarat,Surat District,142200579,1.63868E+11
Gujarat,Gandhinagar District,43453209,54071233174
Gujarat,Valsad District,37119274,38976655683
Gujarat,Mahisagar District,4024935,5445074273
Gujarat,Vadodara District,50127445,53696544402
Gujarat,Sabarkantha District,16167565,23322937080
Gujarat,Amreli District,4752695,7749934082
Gujarat,Navsari District,8177865,10595708008
Gujarat,Patan District,16192650,26019194993
Gujarat,Surendranagar District,9684272,17144297916
Haryana,Yamunanagar District,10565867,15284167675
Haryana,Sonipat District,40461949,53935946656
Haryana,Jind District,9968006,21068328598
Haryana,Rohtak District,21783688,36451969714
Haryana,Mahendragarh District,21416060,36303213683
Haryana,Hisar District,27481373,51811038253
Haryana,Karnal District,19212858,29660992522
Haryana,Fatehabad District,7176120,14524774843
Haryana,Ambala District,11242983,15796507169
Haryana,Rewari District,44363909,57757339449
Haryana,Bhiwani District,16864355,32377258791
Haryana,Sirsa District,12158040,22227172469
Haryana,Panipat District,27410799,38210338489
Haryana,Gurugram District,301187458,2.65843E+11
Haryana,Kaithal District,6318486,13293283268
Haryana,Kurukshetra District,10400065,17346213574
Haryana,Jhajjar District,30931380,44356171325
Jharkhand,Giridih District,38436326,47446025248
Kerala,Thiruvananthapuram District,23995430,28328103009
Kerala,Pathanamthitta District,6278678,8166807521
Kerala,Alappuzha District,11330780,13896923866
Kerala,Kozhikode District,26025750,29189422910
Kerala,Kollam District,13733913,17906948980
Kerala,Thrissur District,15740505,18900725715
Kerala,Palakkad District,13227558,16662299709
Kerala,Kottayam District,10855246,13348949657
Kerala,Ernakulam District,45874753,48534710418
Kerala,Idukki District,6860761,9079393512
Karnataka,Mysuru District,136306716,1.80784E+11
Karnataka,Chitradurga District,46372445,66146833335
Karnataka,Kalaburagi District,88681871,1.15965E+11
Karnataka,Chamarajanagar District,19277892,29325411491
Karnataka,Ramanagara District,58317746,77175551887
Karnataka,Mandya District,56808292,90829152310
Karnataka,Haveri District,35722997,45351475813
Karnataka,Ballari District,64698111,81674487321
Karnataka,Belagavi District,128477525,1.59429E+11
Karnataka,Kolar District,75932219,1.08557E+11
Karnataka,Vijayanagara District,41466874,54201334645
Karnataka,Tumakuru District,94876318,1.31299E+11
Karnataka,Bengaluru Urban District,1674347983,1.79014E+12
Karnataka,Davanagere District,56863731,74012095226
Karnataka,Bagalkote District,55201012,68103839097
Karnataka,Vijayapura District,70972970,93406665233
Karnataka,Koppal District,41548166,54708870321
Karnataka,Chikkaballapur District,50341197,80068304947
Karnataka,Bidar District,59785534,80776104518
Karnataka,Bengaluru Rural District,116146821,1.40428E+11
Karnataka,Raichur District,58011111,78959280621
Karnataka,Dakshina Kannada District,51660908,63988116869
Karnataka,Hassan District,64922108,96932033734
Karnataka,Dharwad District,91471760,1.01219E+11
Karnataka,Shivamogga District,58999966,76223245002
Karnataka,Gadag District,25951596,31702873746
Maharashtra,Jalgaon District,85555252,1.20922E+11
Maharashtra,Latur District,75637799,92305629391
Maharashtra,Nandurbar District,19410052,26176428354
Maharashtra,Chandrapur District,42080334,49872424334
Maharashtra,Solapur District,164430995,2.26538E+11
Maharashtra,Dhule District,40448892,56477818891
Maharashtra,Wardha District,21508966,26749601109
Maharashtra,Parbhani District,41327515,52906178282
Maharashtra,Nanded District,84812032,1.13646E+11
Maharashtra,Nagpur District,171355260,2.0548E+11
Maharashtra,Buldhana District,59818437,77740496846
Maharashtra,Nashik District,228252514,2.93636E+11
Maharashtra,Akola District,38095559,47738130540
Maharashtra,Yavatmal District,45349638,56859282995
Maharashtra,Amravati District,64279621,85683754925
Maharashtra,Jalna District,51613317,70754228943
Madhya Pradesh,Alirajpur District,5538318,6797096282
Madhya Pradesh,Rajgarh District,32379947,43179691478
Madhya Pradesh,Satna District,26076619,31364824507
Madhya Pradesh,Narsinghpur District,18355126,23073507570
Madhya Pradesh,Jabalpur District,56893941,69441494576
Madhya Pradesh,Balaghat District,27147129,32533543560
Madhya Pradesh,Betul District,23920586,30212375206
Madhya Pradesh,Sidhi District,16769986,19509853521
Madhya Pradesh,Dewas District,44048021,55096226836
Madhya Pradesh,Neemuch District,18168011,24226551204
Madhya Pradesh,Mandsaur District,30788948,41145971313
Madhya Pradesh,Barwani District,18026144,22754590452
Madhya Pradesh,Anuppur District,11223597,11913127493
Madhya Pradesh,Agar Malwa District,13716710,17446288050
Madhya Pradesh,Rewa District,33892671,41093208706
Madhya Pradesh,Ujjain District,63706895,79761357653
Madhya Pradesh,Seoni District,21346293,26867968641
Madhya Pradesh,Bhopal District,181813783,1.7788E+11
Madhya Pradesh,Jhabua District,13057147,15560935720
Madhya Pradesh,Dhar District,56512770,64763276403
Madhya Pradesh,Chhindwara District,32159613,39295738177
Madhya Pradesh,Mandla District,11305861,13849166708
Madhya Pradesh,Indore District,264106034,2.77133E+11
Madhya Pradesh,Ratlam District,32990586,45364578179
Odisha,Angul District,41161308,49968489656
Odisha,Sambalpur District,33712360,36123695797
Odisha,Jajpur District,63939600,66396851602
Odisha,Kalahandi District,26649460,28966837403
